BirdID,TripID,Displacement,Length,Duration,NumDives,AverageMaxDiveDepth,MaxDiveDepth,AverageDiveDuration,MaxDiveDuration,TotalDurationDives,Year,Sex,Weight
266.00000000,1.00000000,235.45603933,805.77436973,150469.00000000,76.00000000,7.36463198,10.31952805,4.23684211,9.50000000,322.00000000,2013.00000000,1.00000000,3500.00000000
266.00000000,2.00000000,102.99568319,260.28119391,71189.00000000,2.00000000,6.56187381,9.17744589,1.10000000,1.50000000,2.20000000,2013.00000000,1.00000000,3500.00000000
267.00000000,1.00000000,206.08728368,663.74066065,86231.00000000,13.00000000,7.91299779,9.74848697,5.34615385,17.10000000,69.50000000,2013.00000000,1.00000000,3250.00000000
267.00000000,2.00000000,55.29121665,130.07475742,15949.00000000,1.00000000,3.82393579,3.82393579,5.50000000,5.50000000,5.50000000,2013.00000000,1.00000000,3250.00000000
267.00000000,3.00000000,127.47859730,208.81379892,42178.00000000,12.00000000,7.63342560,9.17744589,4.36666667,5.90000000,52.40000000,2013.00000000,1.00000000,3250.00000000
268.00000000,1.00000000,60.28610422,134.60709779,10522.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,0.00000000,2700.00000000
268.00000000,2.00000000,95.41777265,229.84925739,48685.00000000,7.00000000,4.36584212,5.41469308,2.07142857,4.30000000,14.50000000,2013.00000000,0.00000000,2700.00000000
268.00000000,3.00000000,99.97616754,328.70605904,80968.00000000,3.00000000,6.77431469,8.47384171,0.70000000,0.70000000,2.10000000,2013.00000000,0.00000000,2700.00000000
269.00000000,1.00000000,84.05762337,181.77431190,14781.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,1.00000000,2850.00000000
269.00000000,2.00000000,136.06294519,397.18467287,74573.00000000,25.00000000,6.88145287,10.38071102,4.79600000,21.50000000,119.90000000,2013.00000000,1.00000000,2850.00000000
269.00000000,3.00000000,80.84339680,174.52381858,22372.00000000,3.00000000,4.79606524,5.28212997,4.03333333,5.10000000,12.10000000,2013.00000000,1.00000000,2850.00000000
269.00000000,4.00000000,105.86759286,329.12118236,51412.00000000,39.00000000,7.21200826,14.90825099,7.28461538,31.10000000,284.10000000,2013.00000000,1.00000000,2850.00000000
269.00000000,5.00000000,89.44559107,100.17544877,17488.00000000,1.00000000,6.88308442,6.88308442,0.70000000,0.70000000,0.70000000,2013.00000000,1.00000000,2850.00000000
280.00000000,1.00000000,47.33984441,126.50272105,19575.00000000,15.00000000,3.40517233,4.86404632,3.33333333,4.00000000,50.00000000,2013.00000000,0.00000000,3400.00000000
